"","ymd","ym","year","code","addr_1","apt_nm","juso_jibun","price","con_year","area","floor","py","cnt"
"103",2022-02-26,2022-02-01,"2022","42130","강원_원주","삼천리1","강원도 원주시 학성동 1032-6 삼천리1",10500,1991,85,4,408,1
"104",2022-02-03,2022-02-01,"2022","42130","강원_원주","세경3차","강원도 원주시 단계동 807-1 세경3차",8700,1996,60,2,478,1
"105",2022-02-04,2022-02-01,"2022","42130","강원_원주","세경3차","강원도 원주시 단계동 807-1 세경3차",9000,1996,60,12,495,1
"106",2022-02-04,2022-02-01,"2022","42130","강원_원주","세경3차","강원도 원주시 단계동 807-1 세경3차",13000,1996,60,2,715,1
"107",2022-02-06,2022-02-01,"2022","42130","강원_원주","코오롱","강원도 원주시 단계동 880 코오롱",20400,1994,85,14,792,1
"108",2022-02-07,2022-02-01,"2022","42130","강원_원주","세경3차","강원도 원주시 단계동 807-1 세경3차",8700,1996,60,15,478,1
"109",2022-02-08,2022-02-01,"2022","42130","강원_원주","단계은행","강원도 원주시 단계동 806 단계은행",8500,1994,40,2,701,1
"110",2022-02-09,2022-02-01,"2022","42130","강원_원주","단계주공","강원도 원주시 단계동 792 단계주공",26000,1985,54,3,1589,1
"111",2022-02-09,2022-02-01,"2022","42130","강원_원주","봉화산e-편한세상","강원도 원주시 단계동 1095-1 봉화산e-편한세상",30000,2006,85,8,1165,1
"112",2022-02-09,2022-02-01,"2022","42130","강원_원주","세경3차","강원도 원주시 단계동 807-1 세경3차",12500,1996,60,7,688,1
"113",2022-02-09,2022-02-01,"2022","42130","강원_원주","코오롱","강원도 원주시 단계동 880 코오롱",20000,1994,85,8,776,1
"114",2022-02-10,2022-02-01,"2022","42130","강원_원주","현대3차","강원도 원주시 단계동 507 현대3차",15000,1992,85,6,582,1
"115",2022-02-10,2022-02-01,"2022","42130","강원_원주","세경3차","강원도 원주시 단계동 807-1 세경3차",13400,1996,60,2,737,1
"116",2022-02-11,2022-02-01,"2022","42130","강원_원주","벽산","강원도 원주시 단계동 809 벽산",21400,1993,124,12,570,1
"117",2022-02-11,2022-02-01,"2022","42130","강원_원주","단계삼익","강원도 원주시 단계동 808 단계삼익",20000,1993,85,15,776,1
"118",2022-02-11,2022-02-01,"2022","42130","강원_원주","원주봉화산벨라시티3차아파트","강원도 원주시 단계동 1221 원주봉화산벨라시티3차아파트",39500,2020,85,7,1534,1
"119",2022-02-11,2022-02-01,"2022","42130","강원_원주","원주봉화산벨라시티2차아파트","강원도 원주시 단계동 1218 원주봉화산벨라시티2차아파트",40000,2018,85,22,1553,1
"120",2022-02-11,2022-02-01,"2022","42130","강원_원주","세경3차","강원도 원주시 단계동 807-1 세경3차",9000,1996,60,7,495,1
"121",2022-02-12,2022-02-01,"2022","42130","강원_원주","코오롱","강원도 원주시 단계동 880 코오롱",16500,1994,60,4,908,1
"122",2022-02-12,2022-02-01,"2022","42130","강원_원주","단계삼익","강원도 원주시 단계동 808 단계삼익",20900,1993,85,7,811,1
"123",2022-02-12,2022-02-01,"2022","42130","강원_원주","원주봉화산벨라시티2차아파트","강원도 원주시 단계동 1218 원주봉화산벨라시티2차아파트",24000,2018,60,2,1320,1
"124",2022-02-12,2022-02-01,"2022","42130","강원_원주","단계이안2단지","강원도 원주시 단계동 1165 단계이안2단지",21700,2007,85,5,842,1
"125",2022-02-12,2022-02-01,"2022","42130","강원_원주","단계롯데","강원도 원주시 단계동 807 단계롯데",16500,1993,77,9,707,1
"126",2022-02-12,2022-02-01,"2022","42130","강원_원주","원주봉화산벨라시티2차아파트","강원도 원주시 단계동 1218 원주봉화산벨라시티2차아파트",31300,2018,60,19,1721,1
"127",2022-02-12,2022-02-01,"2022","42130","강원_원주","봉화산e-편한세상","강원도 원주시 단계동 1095-1 봉화산e-편한세상",30800,2006,85,4,1196,1
"128",2022-02-12,2022-02-01,"2022","42130","강원_원주","단계삼익","강원도 원주시 단계동 808 단계삼익",20000,1993,85,5,776,1
"129",2022-02-12,2022-02-01,"2022","42130","강원_원주","원주봉화산푸르지오","강원도 원주시 단계동 1184 원주봉화산푸르지오",29500,2017,61,12,1596,1
"130",2022-02-14,2022-02-01,"2022","42130","강원_원주","현대3차","강원도 원주시 단계동 507 현대3차",15000,1992,85,5,582,1
"131",2022-02-14,2022-02-01,"2022","42130","강원_원주","단계주공","강원도 원주시 단계동 792 단계주공",26500,1984,54,4,1619,1
"132",2022-02-15,2022-02-01,"2022","42130","강원_원주","벽산","강원도 원주시 단계동 809 벽산",19000,1993,95,7,660,1
"133",2022-02-16,2022-02-01,"2022","42130","강원_원주","단계삼익","강원도 원주시 단계동 808 단계삼익",20300,1993,85,6,788,1
"134",2022-02-16,2022-02-01,"2022","42130","강원_원주","성일","강원도 원주시 단계동 1084-1 성일",18200,1995,115,12,522,1
"135",2022-02-16,2022-02-01,"2022","42130","강원_원주","세경3차","강원도 원주시 단계동 807-1 세경3차",13500,1996,60,5,742,1
"136",2022-02-17,2022-02-01,"2022","42130","강원_원주","세경3차","강원도 원주시 단계동 807-1 세경3차",13600,1996,60,14,748,1
"137",2022-01-11,2022-01-01,"2022","42130","강원_원주","원동진로","강원도 원주시 원동 113-1 원동진로",6500,1999,37,6,580,1
"138",2022-01-11,2022-01-01,"2022","42130","강원_원주","원동진로","강원도 원주시 원동 113-1 원동진로",14000,1999,73,9,633,1
"139",2022-01-13,2022-01-01,"2022","42130","강원_원주","원동진로","강원도 원주시 원동 113-1 원동진로",13700,1999,73,6,619,1
"140",2022-01-13,2022-01-01,"2022","42130","강원_원주","한주","강원도 원주시 원동 273-1 한주",9400,1995,53,8,585,1
"141",2022-01-14,2022-01-01,"2022","42130","강원_원주","원동진로","강원도 원주시 원동 113-1 원동진로",9400,1999,49,16,633,1
"142",2022-01-14,2022-01-01,"2022","42130","강원_원주","원동주공2","강원도 원주시 원동 295 원동주공2",21000,1989,51,2,1359,1
"143",2022-01-15,2022-01-01,"2022","42130","강원_원주","원동주공2","강원도 원주시 원동 295 원동주공2",22700,1989,59,3,1270,1
"144",2022-01-18,2022-01-01,"2022","42130","강원_원주","원동진로","강원도 원주시 원동 113-1 원동진로",9400,1999,49,13,633,1
"145",2022-01-19,2022-01-01,"2022","42130","강원_원주","한주","강원도 원주시 원동 273-1 한주",6200,1995,53,1,386,1
"146",2022-01-23,2022-01-01,"2022","42130","강원_원주","원동진로","강원도 원주시 원동 113-1 원동진로",13000,1999,73,5,588,1
"147",2022-01-12,2022-01-01,"2022","42130","강원_원주","개운현대","강원도 원주시 개운동 322 개운현대",15500,1998,85,6,602,1
"148",2022-01-13,2022-01-01,"2022","42130","강원_원주","덕산","강원도 원주시 개운동 118-26 덕산",12900,1992,76,12,560,1
"149",2022-01-17,2022-01-01,"2022","42130","강원_원주","개운한신휴플러스1차","강원도 원주시 개운동 441 개운한신휴플러스1차",26900,2006,85,15,1044,1
"150",2022-01-21,2022-01-01,"2022","42130","강원_원주","개운한신휴플러스1차","강원도 원주시 개운동 441 개운한신휴플러스1차",28000,2006,85,9,1087,1
"151",2022-01-29,2022-01-01,"2022","42130","강원_원주","개운한신휴플러스1차","강원도 원주시 개운동 441 개운한신휴플러스1차",27000,2006,85,11,1048,1
"152",2022-01-29,2022-01-01,"2022","42130","강원_원주","원주개운휴먼시아1단지","강원도 원주시 개운동 581-1 원주개운휴먼시아1단지",33000,2010,117,2,931,1
"153",2022-01-03,2022-01-01,"2022","42130","강원_원주","한솔솔파크","강원도 원주시 명륜동 765 한솔솔파크",28000,2006,85,3,1087,1
"154",2022-01-03,2022-01-01,"2022","42130","강원_원주","행운","강원도 원주시 명륜동 710 행운",7900,1992,41,3,636,1
"155",2022-01-04,2022-01-01,"2022","42130","강원_원주","영진3","강원도 원주시 명륜동 774 영진3",15300,1997,85,13,594,1
"156",2022-01-04,2022-01-01,"2022","42130","강원_원주","단구1단지","강원도 원주시 명륜동 376 단구1단지",11000,1988,32,4,1134,1
"157",2022-01-04,2022-01-01,"2022","42130","강원_원주","현대1","강원도 원주시 명륜동 205-37 현대1",16500,1990,72,7,756,1
"158",2022-01-04,2022-01-01,"2022","42130","강원_원주","대성현대","강원도 원주시 명륜동 124 대성현대",13000,1991,85,11,505,1
"159",2022-01-05,2022-01-01,"2022","42130","강원_원주","행운","강원도 원주시 명륜동 710 행운",9300,1992,50,8,614,1
"160",2022-01-05,2022-01-01,"2022","42130","강원_원주","성원","강원도 원주시 명륜동 802 성원",18800,2000,85,12,730,1
"161",2022-01-05,2022-01-01,"2022","42130","강원_원주","성원","강원도 원주시 명륜동 802 성원",17000,2000,85,1,660,1
"162",2022-01-06,2022-01-01,"2022","42130","강원_원주","성원","강원도 원주시 명륜동 802 성원",15000,2000,60,5,825,1
"163",2022-01-06,2022-01-01,"2022","42130","강원_원주","행운","강원도 원주시 명륜동 710 행운",8200,1992,41,9,660,1
"164",2022-01-07,2022-01-01,"2022","42130","강원_원주","단구1단지","강원도 원주시 명륜동 376 단구1단지",11300,1988,32,5,1165,1
"165",2022-01-07,2022-01-01,"2022","42130","강원_원주","행운","강원도 원주시 명륜동 710 행운",6950,1992,39,1,588,1
"166",2022-01-07,2022-01-01,"2022","42130","강원_원주","동보노빌리티1","강원도 원주시 명륜동 847-5 동보노빌리티1",22700,2001,85,6,881,1
"167",2022-01-08,2022-01-01,"2022","42130","강원_원주","동보노빌리티1","강원도 원주시 명륜동 847-5 동보노빌리티1",23000,2001,85,15,893,1
"168",2022-01-11,2022-01-01,"2022","42130","강원_원주","세경1","강원도 원주시 명륜동 90-1 세경1",9500,1985,56,4,560,1
"169",2022-01-14,2022-01-01,"2022","42130","강원_원주","동성","강원도 원주시 명륜동 147-1 동성",9000,1992,59,11,503,1
"170",2022-01-14,2022-01-01,"2022","42130","강원_원주","현대1","강원도 원주시 명륜동 205-37 현대1",15900,1990,72,10,729,1
"171",2022-01-15,2022-01-01,"2022","42130","강원_원주","단구1단지","강원도 원주시 명륜동 376 단구1단지",11900,1988,32,2,1227,1
"172",2022-01-15,2022-01-01,"2022","42130","강원_원주","단구1단지","강원도 원주시 명륜동 376 단구1단지",11000,1988,32,3,1134,1
"173",2022-01-15,2022-01-01,"2022","42130","강원_원주","단구1단지","강원도 원주시 명륜동 376 단구1단지",16400,1988,47,4,1151,1
"174",2022-01-15,2022-01-01,"2022","42130","강원_원주","영진3","강원도 원주시 명륜동 774 영진3",15300,1997,85,13,594,1
"175",2022-01-16,2022-01-01,"2022","42130","강원_원주","동보렉스9차","강원도 원주시 명륜동 848-1 동보렉스9차",28000,1999,115,10,803,1
"176",2022-01-17,2022-01-01,"2022","42130","강원_원주","대성현대","강원도 원주시 명륜동 124 대성현대",13500,1991,85,7,524,1
"177",2022-01-17,2022-01-01,"2022","42130","강원_원주","현대1","강원도 원주시 명륜동 205-37 현대1",16900,1990,85,9,656,1
"178",2022-01-17,2022-01-01,"2022","42130","강원_원주","현대2차","강원도 원주시 명륜동 764 현대2차",14500,1990,71,4,674,1
"179",2022-01-18,2022-01-01,"2022","42130","강원_원주","단구1단지","강원도 원주시 명륜동 376 단구1단지",11000,1988,32,3,1134,1
"180",2022-01-18,2022-01-01,"2022","42130","강원_원주","대성현대","강원도 원주시 명륜동 124 대성현대",12500,1991,75,6,550,1
"181",2022-01-18,2022-01-01,"2022","42130","강원_원주","단구1단지","강원도 원주시 명륜동 376 단구1단지",11000,1988,32,4,1134,1
"182",2022-01-18,2022-01-01,"2022","42130","강원_원주","현대1","강원도 원주시 명륜동 205-37 현대1",15800,1990,85,13,613,1
"183",2022-01-19,2022-01-01,"2022","42130","강원_원주","단구1단지","강원도 원주시 명륜동 376 단구1단지",13700,1988,40,2,1130,1
"184",2022-01-22,2022-01-01,"2022","42130","강원_원주","구곡청구2단지","강원도 원주시 명륜동 847-3 구곡청구2단지",19800,1997,85,14,769,1
"185",2022-01-22,2022-01-01,"2022","42130","강원_원주","현대2차","강원도 원주시 명륜동 764 현대2차",17100,1990,85,8,664,1
"186",2022-01-24,2022-01-01,"2022","42130","강원_원주","단구1단지","강원도 원주시 명륜동 376 단구1단지",11300,1988,32,5,1165,1
"187",2022-01-26,2022-01-01,"2022","42130","강원_원주","행운","강원도 원주시 명륜동 710 행운",7700,1992,41,2,620,1
"188",2022-01-27,2022-01-01,"2022","42130","강원_원주","성원","강원도 원주시 명륜동 802 성원",19700,2000,85,8,765,1
"189",2022-01-27,2022-01-01,"2022","42130","강원_원주","원주삼성","강원도 원주시 명륜동 547 원주삼성",15500,1990,85,13,602,1
